"key","English","Korean","Japanese","Russian","French","Dutch","German","Spanish","Italiano"
"main_setup","SETUP","설정","セットアップ","Настройка","MENU","INSTELLINGEN","EINRICHTEN","CONFIGURACIÓN","CONFIGURAZIONE"
"main_logout","LOGOUT","로그 아웃","ログアウト","Выйти","Déconnexion","UITLOGGEN","Abmelden","CERRAR SESIÓN","DISCONNETTI"
"logout_msg","You have been signed out.","로그 아웃 되었습니다.","あなたはログアウトしました。","Вы вышли из системы.","Vous avez été déconnecté.","U bent afgemeld","Sie wurden abgemeldet","Ha salido de su sesión","Sei stato disconnesso."
"admin_password_change_msg","The admin’s password has been changed.","관리자의 암호가 변경되었습니다.","管理者のパスワードが変更されました。","Пароль администратора был изменен.","Le mot de passe de l'administrateur a été modifié.","Het administrator wachtwoord is gewijzigd","Das Adminpasswort wurde geändert","La contraseña de administrador ha cambiado","La password dell'amministratore è stata modificata."
"signed_out_msg","Your session has expired and you have been signed out.","세션이 만료되어 로그아웃되었습니다.","セッションが期限切れログアウトしました。","Ваше время истекло, и вы вышли из системы.","Votre session a expiré et vous avez été déconnecté. Veuillez vous reconnecter.","U bent afgemeld omdat uw sessie is verlopen","Ihre Sitzung ist abgelaufen und Sie wurden abgemeldet.","La sesión ha expirado y se ha cerrado","La tua sessione è scaduta e sei stato disconnesso."
"re_login_msg","Please re-login.","다시 로그인하십시오.","再ログインしてください。","Войдите снова","Veuillez vous reconnecter.","Opnieuw inloggen A.U.B.","Bitte melden Sie sich neu an","Vuelva a entrar, por favor","Effettua nuovamente il login."
"login_again_msg","Please login again.","다시 로그인하십시오.","再ログインしてください。","Войдите снова","Veuillez vous reconnecter.","Nogmaals inloggen A.U.B.","Bitte melden Sie sich wieder an","Vuelva a entrar, por favor","Per favore esegui l'accesso di nuovo."
"re_login_btn","RE-LOGIN","재로그인","再ログイン","Повторный вход","S'identifier à nouveau","OPN. INLOGGEN","Neuanmeldung","VOLVER A INICIAR SESIÓN","RE-LOGIN"
"login_btn","LOGIN","로그인","ログイン","Авторизоваться","Utilisateur","INLOGGEN","Anmeldung","INICIAR SESIÓN","LOGIN"
"main_live_viewer","LIVE VIEWER","라이브 재생","ライブビューワー","Просмотр","Vue en directy","Live Beelden","Liveansicht","VISOR EN TIEMPO TEAL","VISUALIZZATORE IN DIRETTA"
"main_vlc","VLC PLUGIN","VLC 플러그인","VLC プラグイン","VLC плагин","VLC PULGIN","VLC PLUGIN","VLC PLUGIN","PLUGIN VLC","PLUGIN VLC"
"main_html5_mjpeg","HTML5(MJPEG)","HTML5(MJPEG)","HTML5(MJPEG)","HTML5(MJPEG)","HTML5(MJPEG)","HTML5(MJPEG)","HTML5(MJPEG)","HTML5(MJPEG)","HTML5 (MJPEG)"
"main_html5_WebRTC_stream1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) STREAM 1","HTML5(WebRTC) FLUJO 1","HTML5 (WebRTC) STREAM 1"
"main_html5_WebRTC_stream2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) STREAM 2","HTML5(WebRTC) FLUJO 2","HTML5 (WebRTC) STREAM 2"
"main_html5_WebRTC_stream","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) FLUJO","STREAM HTML5 (WebRTC)"
"main_html5_WebRTC_stream","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) STREAM","HTML5(WebRTC) FLUJO","STREAM HTML5 (WebRTC)"
"main_live_buffer","LIVE BUFFERING","재생 버퍼","ライブバッファリング","Буфферизация","Buffer live","LIVE BUFFERING","LIVE-BÜFFERING","BÚFER VIVO","LIVE BUFFERING"
"main_stream","Channel Select","영상 선택","チャンネル選択","Поток","Selectionner un canal","KANAAL SELECTEREN","Kanal wählen","SELECCIÓN DE CANAL","Selezione Canale"
"setup_main_stream","Main Stream","주 영상","Main Stream","Первый поток","Flux principal","Hoofd Stream","Hauptstream","Flujo principal","Stream Principale"
"setup_sub_stream","Sub Stream","부 영상","Sub Stream","Второй поток","Flux secondaire 1","Sub Stream","Substream","Segundo flujo","Stream secondario"
"setup_third_stream","3rd Stream","3번째 영상","3rd Stream","Третий поток","Flux secondaire 2","3e Stream","Dritte stream","Tercer flujo","Terzo Stream"
